step,train_error,val_error,test_error,gap,val_error_raw,test_error_raw,gap_raw,seed,K,m1,eta_mode,eta_name
600,1.4384973049163818,0.20582681894302368,0.18166018009185791,-0.024166638851165767,0.4966621994972229,0.48513450622558596,-0.01152769327163694,100,1,100,exp,Decaying
0,0.2890211880207062,0.27173975110054016,0.27247419357299807,0.000734442472457908,0.567756175994873,0.5638243484497071,-0.003931827545165967,100,1,100,exp,Faster Decaying
30,0.3380508780479431,0.22842936217784882,0.22201244354248048,-0.006416918635368335,0.4692879021167755,0.45975234985351565,-0.009535552263259861,100,1,100,exp,Faster Decaying
60,0.5960446715354919,0.18758320808410645,0.18496765613555907,-0.0026155519485473733,0.39389321208000183,0.3823699951171875,-0.011523216962814331,100,1,100,exp,Faster Decaying
90,0.9614274144172669,0.11477518826723099,0.11346610546112061,-0.001309082806110376,0.25044509768486023,0.23374245643615724,-0.016702641248702993,100,1,100,exp,Faster Decaying
120,1.1841519594192504,0.08294713497161865,0.0796285080909729,-0.003318626880645756,0.16351380944252014,0.16414824962615968,0.0006344401836395341,100,1,100,exp,Faster Decaying
150,1.3006953239440917,0.07766546308994293,0.06959188461303711,-0.008073578476905818,0.15984755754470825,0.14402107238769532,-0.01582648515701293,100,1,100,exp,Faster Decaying
180,1.3488951444625854,0.06538582593202591,0.06722557783126831,0.0018397518992424033,0.15717995166778564,0.1398627281188965,-0.01731722354888915,100,1,100,exp,Faster Decaying
210,1.3567790269851685,0.06579011678695679,0.07083478450775146,0.005044667720794677,0.1656179279088974,0.1484922170639038,-0.01712571084499359,100,1,100,exp,Faster Decaying
240,1.3486455917358398,0.09154880046844482,0.08132516622543334,-0.010223634243011481,0.18516996502876282,0.1724875068664551,-0.01268245816230773,100,1,100,exp,Faster Decaying
270,1.3216801404953002,0.08268143236637115,0.0916676640510559,0.00898623168468475,0.20987483859062195,0.1969441843032837,-0.01293065428733825,100,1,100,exp,Faster Decaying
300,1.2964457988739013,0.10935989022254944,0.10808341503143311,-0.0012764751911163302,0.22216719388961792,0.23641523361206054,0.014248039722442624,100,1,100,exp,Faster Decaying
330,1.295685601234436,0.14765989780426025,0.12777208805084228,-0.019887809753417973,0.25540828704833984,0.28558156967163084,0.030173282623290998,100,1,100,exp,Faster Decaying
360,1.310840082168579,0.1532558649778366,0.14025821685791015,-0.012997648119926458,0.3074277639389038,0.31945429801940917,0.012026534080505358,100,1,100,exp,Faster Decaying
390,1.3122296571731566,0.10056985914707184,0.15330880165100097,0.05273894250392913,0.27978700399398804,0.3561134433746338,0.07632643938064576,100,1,100,exp,Faster Decaying
420,1.3656172513961793,0.1452295333147049,0.16589996337890625,0.020670430064201356,0.40308451652526855,0.39304983139038085,-0.0100346851348877,100,1,100,exp,Faster Decaying
450,1.3912066698074341,0.18019041419029236,0.17747307777404786,-0.002717336416244498,0.3716335594654083,0.42842358589172364,0.05679002642631531,100,1,100,exp,Faster Decaying
480,1.409396243095398,0.17575806379318237,0.18039703369140625,0.004638969898223877,0.4915727972984314,0.441117467880249,-0.05045532941818237,100,1,100,exp,Faster Decaying
510,1.4310609817504882,0.17015716433525085,0.18169518947601318,0.011538025140762326,0.4308445155620575,0.4493004989624023,0.018455983400344822,100,1,100,exp,Faster Decaying
540,1.4901971340179443,0.21966741979122162,0.18849015712738038,-0.031177262663841243,0.5731542110443115,0.4726708793640137,-0.10048333168029783,100,1,100,exp,Faster Decaying
570,1.5259663820266725,0.19409526884555817,0.19125832080841065,-0.002836948037147513,0.4598844647407532,0.48472900390625,0.024844539165496837,100,1,100,exp,Faster Decaying
600,1.5491541147232055,0.21695378422737122,0.19130932807922363,-0.025644456148147587,0.4992639422416687,0.4886951446533203,-0.010568797588348389,100,1,100,exp,Faster Decaying
