step,train_error,val_error,test_error,gap,val_error_raw,test_error_raw,gap_raw,seed,K,m1,eta_mode
150,1.3791038751602174,0.0776233077049255,0.0773776841163635,-0.000245623588562,0.1805286407470703,0.1621807956695556,-0.0183478450775146,100,300,100,exp
200,1.36332266330719,0.0844151675701141,0.0829783153533935,-0.0014368522167205,0.1495098769664764,0.1749109363555908,0.0254010593891143,100,300,100,exp
250,1.3578212976455688,0.0997570902109146,0.0891784524917602,-0.0105786377191543,0.1768397241830825,0.189156789779663,0.0123170655965804,100,300,100,exp
300,1.3534438610076904,0.0941391512751579,0.0967591762542724,0.0026200249791145,0.2243559658527374,0.2067385673522949,-0.0176173985004425,100,300,100,exp
10,1.3464903593063355,0.1048464700579643,0.0981633758544921,-0.0066830942034721,0.2219278067350387,0.2102475833892822,-0.0116802233457565,100,300,100,exp
100,1.3258174657821655,0.1091842427849769,0.1118994808197021,0.0027152380347251,0.2656961679458618,0.2431789493560791,-0.0225172185897827,100,300,100,exp
150,1.329522180557251,0.1324761509895324,0.1171728229522705,-0.0153033280372619,0.2761183679103851,0.2565570926666259,-0.0195612752437591,100,300,100,exp
200,1.3152501583099363,0.1270997375249862,0.1273627853393554,0.0002630478143691,0.2560725212097168,0.2817622756958007,0.0256897544860839,100,300,100,exp
250,1.3251349210739136,0.1145544201135635,0.1340047740936279,0.0194503539800643,0.3152264654636383,0.2990780448913574,-0.0161484205722808,100,300,100,exp
300,1.3377405881881714,0.129871055483818,0.1410871315002441,0.011216076016426,0.3209298551082611,0.3177836036682129,-0.0031462514400482,100,300,100,exp
10,1.3133863925933835,0.1180783808231353,0.1417348623275756,0.0236564815044403,0.377478539943695,0.3209645557403564,-0.0565139842033386,100,300,100,exp
100,1.348846435546875,0.1615503132343292,0.1528665494918823,-0.0086837637424468,0.3066982626914978,0.3518744087219238,0.045176146030426,100,300,100,exp
150,1.344339680671692,0.1639540195465088,0.1582156085968017,-0.005738410949707,0.3599618077278137,0.3673753452301025,0.0074135375022887,100,300,100,exp
200,1.368082547187805,0.1774184554815292,0.1650743055343627,-0.0123441499471664,0.1783024221658706,0.38701997756958,0.2087175554037094,100,300,100,exp
250,1.3802136659622193,0.1529734879732132,0.1689927721023559,0.0160192841291427,0.454158753156662,0.3993347930908203,-0.0548239600658416,100,300,100,exp
300,1.408424735069275,0.1357966661453247,0.1726595258712768,0.0368628597259521,0.4542308151721954,0.411128978729248,-0.0431018364429474,100,300,100,exp
0,0.2946533143520355,0.2880152463912964,0.2912082576751709,0.0031930112838745,0.6581978797912598,0.6648390007019043,0.0066411209106445,101,300,100,exp
10,0.2953750967979431,0.2828614711761474,0.2853931808471679,0.0025317096710205,0.641980767250061,0.6503773498535156,0.0083965826034545,101,300,100,exp
100,0.2855443358421325,0.2483338117599487,0.2468934917449951,-0.0014403200149536,0.5511598587036133,0.551453857421875,0.0002939987182617,101,300,100,exp
150,0.2837147831916809,0.2350988537073135,0.2298502445220947,-0.0052486091852188,0.519304633140564,0.5093972587585449,-0.009907374382019,101,300,100,exp
200,0.2910693764686584,0.219988152384758,0.2149252605438232,-0.0050628918409347,0.4760105013847351,0.4735688972473144,-0.0024416041374206,101,300,100,exp
250,0.3055273473262787,0.2130535691976547,0.2043160343170166,-0.0087375348806381,0.4662467241287231,0.4492948722839355,-0.0169518518447875,101,300,100,exp
300,0.3399220049381256,0.2026331275701522,0.1999317932128906,-0.0027013343572616,0.4581417143344879,0.4416398811340332,-0.0165018332004547,101,300,100,exp
10,0.3574484944343566,0.2177895903587341,0.1998850440979004,-0.0179045462608337,0.4359036087989807,0.4427764511108398,0.0068728423118591,101,300,100,exp
100,0.4964414000511169,0.2006545960903167,0.1936180305480957,-0.007036565542221,0.4814949631690979,0.4431664276123047,-0.0383285355567932,101,300,100,exp
150,0.5798022747039795,0.1880687922239303,0.1730547428131103,-0.01501404941082,0.412208616733551,0.4056004524230957,-0.0066081643104553,101,300,100,exp
200,0.6486469388008118,0.1944414973258972,0.1511167001724243,-0.0433247971534729,0.4193403124809265,0.3644265174865723,-0.0549137949943542,101,300,100,exp
250,0.6983631014823913,0.1586058139801025,0.1344777631759643,-0.0241280508041381,0.4490793943405151,0.3343254089355468,-0.1147539854049682,101,300,100,exp
300,0.7208482265472412,0.1422346532344818,0.1220675897598266,-0.0201670634746551,0.4140271842479706,0.3122942924499511,-0.1017328917980194,101,300,100,exp
10,0.7210692882537841,0.1322919875383377,0.1193159008026123,-0.0129760867357254,0.3918141722679138,0.3071834850311279,-0.0846306872367859,101,300,100,exp
100,0.7315546751022339,0.1310848593711853,0.1071555423736572,-0.023929316997528,0.3121037781238556,0.2884575271606445,-0.023646250963211,101,300,100,exp
150,0.7312645196914673,0.1236107796430587,0.1032530975341796,-0.020357682108879,0.375709980726242,0.2840120029449463,-0.0916979777812957,101,300,100,exp
200,0.7272757053375244,0.1200031489133834,0.1011055660247802,-0.0188975828886032,0.3379943668842315,0.2839587020874023,-0.0540356647968292,101,300,100,exp
250,0.7237173318862915,0.1325854808092117,0.0985104846954345,-0.0340749961137771,0.3732745945453644,0.2814867687225342,-0.0917878258228301,101,300,100,exp
300,0.7200885653495789,0.1366129219532013,0.0979260969161987,-0.0386868250370025,0.3097183108329773,0.285098819732666,-0.0246194911003112,101,300,100,exp
10,0.713487422466278,0.1277319341897964,0.0971605157852172,-0.0305714184045791,0.4298793077468872,0.284289608001709,-0.1455896997451782,101,300,100,exp
100,0.7067177772521973,0.1091230064630508,0.0956068325042724,-0.0135161739587783,0.4122893810272217,0.2878167057037353,-0.1244726753234863,101,300,100,exp
150,0.704435670375824,0.1406176388263702,0.0964467763900756,-0.0441708624362945,0.3749817907810211,0.2955418682098388,-0.0794399225711822,101,300,100,exp
200,0.6978424429893494,0.1224917322397232,0.0960902118682861,-0.026401520371437,0.3975085318088531,0.298720531463623,-0.0987880003452301,101,300,100,exp
250,0.6971387028694153,0.1410849690437317,0.0974254322052002,-0.0436595368385314,0.4882416725158691,0.3082104110717773,-0.1800312614440918,101,300,100,exp
300,0.6925769686698914,0.1261289864778518,0.0983402919769287,-0.0277886945009231,0.4611988663673401,0.3160990810394287,-0.1450997853279114,101,300,100,exp
10,0.6932624816894531,0.121453046798706,0.0984431362152099,-0.023009910583496,0.52215176820755,0.3181239509582519,-0.204027817249298,101,300,100,exp
100,0.6883161544799805,0.1037379801273346,0.1002150630950927,-0.0035229170322418,0.4222062826156616,0.3330545806884765,-0.089151701927185,101,300,100,exp
150,0.683671236038208,0.1374691128730774,0.1015310907363891,-0.0359380221366882,0.5797401666641235,0.3428550910949707,-0.2368850755691528,101,300,100,exp
200,0.6848500490188598,0.1598144471645355,0.1034031915664672,-0.0564112555980682,0.6097090840339661,0.3551778984069824,-0.2545311856269836,101,300,100,exp
250,0.6871397376060486,0.1442965865135193,0.1046705818176269,-0.0396260046958923,0.540839672088623,0.3651815223693848,-0.1756581497192382,101,300,100,exp
300,0.6853989839553833,0.1058921217918396,0.1068909311294555,0.0009988093376159,0.5563522577285767,0.3795949554443359,-0.1767573022842407,101,300,100,exp
0,0.2890211880207062,0.2765944387231554,0.2747251262664795,-0.0018693124566759,0.5730850611414228,0.5686644668579102,-0.0044205942835126,100,300,500,exp
10,0.290025007724762,0.2696937024593353,0.2678781585693359,-0.0018155438899993,0.5600249000958034,0.5546582221984864,-0.005366677897317,100,300,500,exp
100,0.3395448327064514,0.2325202077627182,0.2327881240844726,0.0002679163217544,0.4819914400577545,0.4799746894836426,-0.0020167505741119,100,300,500,exp
150,0.4516618907451629,0.2281688941376549,0.2310537223815918,0.0028848282439368,0.4698614222662789,0.4768816680908203,0.0070202458245413,100,300,500,exp
200,0.6084971785545349,0.2029679353748049,0.2070152530670166,0.0040473176922116,0.4129148977143423,0.4270166816711426,0.0141017839568002,100,300,500,exp
250,0.7957449913024902,0.1586988142558506,0.1674245452880859,0.0087257310322352,0.3296219961983817,0.3448614425659179,0.0152394463675362,100,300,500,exp
300,0.9699899315834044,0.1260237321257591,0.1358306741714477,0.0098069420456886,0.26475961293493,0.2796475009918213,0.0148878880568912,100,300,500,exp
10,1.0069886445999146,0.1205587876694543,0.1302245960235595,0.0096658083541052,0.2526664755174092,0.2681280918121337,0.0154616162947245,100,300,500,exp
100,1.2166336536407472,0.0921792164444923,0.1021415510177612,0.0099623345732688,0.1932101888316018,0.2107265434265136,0.0175163545949118,100,300,500,exp
150,1.2808286666870117,0.0838362649083137,0.09561470413208,0.0117784392237663,0.1708007465515817,0.197709077835083,0.0269083312835012,100,300,500,exp
200,1.332602858543396,0.081893612231527,0.0916276540756225,0.0097340418440955,0.1693837429795946,0.1899611721038818,0.0205774291242872,100,300,500,exp
250,1.3632240533828734,0.0776325645191328,0.090603099822998,0.0129705353038651,0.1699702548129218,0.1884595108032226,0.0184892559903008,100,300,500,exp
300,1.3776715278625489,0.07378765302045,0.0916492385864257,0.0178615855659757,0.1709343343973159,0.1913819618225097,0.0204476274251937,100,300,500,exp
10,1.2626747369766236,0.0460592609431062,0.0507425789833068,0.0046833180402006,0.0897704597030367,0.1045407924652099,0.0147703327621732,100,300,500,exp
